Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/29,22:07:02.3600,60.4795,-152.7903,3.28,0.7,l,0,185.0,3.0,0.1,AV,hypomag,60326333,,lp,2009/01/29 22:07:02.3600,,,,
2009/01/29,22:56:57.9500,60.508,-152.7217,1.77,0.5,l,0,133.0,2.0,0.11,AV,hypomag,60326368,,lp,2009/01/29 22:56:57.9500,,,,
2009/01/29,23:16:18.2000,60.492,-152.7278,0.3,0.4,l,0,144.0,2.0,0.07,AV,hypomag,60326403,,lp,2009/01/29 23:16:18.2000,154,1.15000382066,5006.27760185,-0.538162064273
2009/01/29,23:44:41.1800,60.4775,-152.7642,4.53,0.5,l,0,152.0,2.0,0.16,AV,hypomag,60326448,,lp,2009/01/29 23:44:41.1800,,,,
2009/01/30,00:13:11.2700,60.4847,-152.7837,0.62,0.3,l,0,169.0,3.0,0.12,AV,hypomag,60326483,,lp,2009/01/30 00:13:11.2700,181,1.04000642896,9657.09370262,-0.243700027466
2009/01/30,00:18:56.9600,60.4765,-152.7807,-1.19,0.3,l,0,180.0,2.0,0.13,AV,hypomag,60326488,,lp,2009/01/30 00:18:56.9600,237,1.15000382066,10426.2695239,-0.389211273442
2009/01/30,01:52:40.8300,60.4643,-152.7165,3.86,0.6,l,0,239.0,2.0,0.14,AV,hypomag,60326558,,lp,2009/01/30 01:52:40.8300,181,1.37000866234,5217.29960619,-0.113875905673
2009/01/30,02:13:53.4900,60.4795,-152.6988,6.03,0.9,l,0,224.0,1.0,0.11,AV,hypomag,60326568,,lp,2009/01/30 02:13:53.4900,,,,
2009/01/30,03:22:40.2000,60.4855,-152.7212,1.38,0.8,l,0,140.0,2.0,0.18,AV,hypomag,60326623,,lp,2009/01/30 03:22:40.2000,,,,
2009/01/30,03:25:54.6300,60.5177,-152.7375,0.68,0.7,l,0,125.0,1.0,0.19,AV,hypomag,60326628,,lp,2009/01/30 03:25:54.6300,220,0.0,9817.05176233,-0.285457179998
2009/01/30,03:27:05.3700,60.4943,-152.766,0.96,0.3,l,0,140.0,3.0,0.07,AV,hypomag,60326633,,le,2009/01/30 03:27:05.3700,,,,
