2012-09-18 17:34:04.720000, ST02 HHZ JP , trigger
2012-09-18 17:35:11.340000, ST02 HHZ JP , trigger
2012-09-18 17:35:51.330000, ST02 HHZ JP , trigger
2012-09-18 17:49:23.510000, ST02 HHZ JP , trigger
2012-09-18 17:49:38.340000, ST02 HHZ JP , trigger
2012-09-18 17:49:46.510000, ST02 HHZ JP , trigger
2012-09-18 17:51:50.310000, ST02 HHZ JP , trigger
2012-09-18 17:58:42.820000, ST02 HHZ JP , trigger
2012-09-18 17:58:52.400000, ST02 HHZ JP , trigger
2012-09-18 18:11:06.840000, ST02 HHZ JP , trigger
2012-09-18 18:13:32.550000, ST02 HHZ JP , trigger
2012-09-18 18:39:53.460000, ST02 HHZ JP , trigger
2012-09-18 18:41:42.440000, ST02 HHZ JP , trigger
2012-09-18 18:41:54.170000, ST02 HHZ JP , trigger
2012-09-18 18:43:46.640000, ST02 HHZ JP , trigger
2012-09-18 18:50:13.790000, ST02 HHZ JP , trigger
2012-09-18 18:54:14.320000, ST02 HHZ JP , trigger
2012-09-18 18:54:23.870000, ST02 HHZ JP , trigger
2012-09-18 18:59:30.660000, ST02 HHZ JP , trigger
2012-09-18 19:04:09.160000, ST02 HHZ JP , trigger
